ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
140;IGP COTES DE GASCOGNE COLOMBARD-SAUVIGNON COMTE DE GASCOGNE;601002H;COMTE DE GASCOGNE;2,06;982;1;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
807;AOP CHABLIS DOMAINE GARNIER;153004;DOMAINE GARNIER;6,9;2000;1;2015;0,63;x 12;37.5 cl;BLC;annee:2015,couleur:BLC,contenant:37.5 cl,conditionnement:x 12
517;IGP ST GUILHEM LE DESERT LES SARDINES;174007;LES COTEAUX DU PIC;2,3;56;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
225;AOP CABARDES CUVEE AMANDIERS JOUCLARY ;162002;CHATEAU JOUCLARY;4,3;1000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
321;AOP TOKAY PINOT GRIS;007003;DOMAINE ANDRE DUSSOURT;5,5;1982;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
422;AOP COTEAUX DE L'AUBANCE DOMAINE DES ROCHETTES;211001H;DOMAINE DES ROCHETTES;5,11;1952;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
116;AOP BORDEAUX LA ROSEE DE RAMAGE;052028;GIRONDE ET GASCOGNE;2,65;988;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
781;AOP 1ERES COTES DE BLAYE TRADITION CHATEAU LES BERTRANDS;028007;VIGNOBLE DUBOIS;13,5;400;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
71;AOP CASTILLON CHATEAU PERREAU BEL AIR;169001;CHATEAU PERREAU BEL AIR;2,95;742;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
94;AOP GRAVES CHATEAU DE L'HOSPITAL;096007H;CHATEAU DE L'HOSPITAL;16,25;958;1;2009;1,47;x 6;150 cl;RGE;annee:2009,couleur:RGE,contenant:150 cl,conditionnement:x 6
41;AOP COTES DE DURAS BERTICOT;086012P;LA CAVE DE BERTICOT;9,91;792;1;NM;5,5;x 1;B05L;BLC;annee:NM,couleur:BLC,contenant:B05L,conditionnement:x 1
761;VIN DE PAYS DU GARD CAVE GALLICIAN;002003;CAVE GALLICIAN;7,51;423;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
563;AOP CDR VILLAGES CAIRANNE LA BOSQUETTE;201013;CAVE LES COTEAUX DU RHONE;3,85;2000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
36;AOP SAUMUR DOMAINE DE LA PALEINE;089901;DOMAINE DE LA PALEINE;13,2;735;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
263;AOP DUCHE D'UZES LES PERRASSIERES DOMAINE CAMP GALHAN;012010H;DOMAINE DE CAMP-GALHAN;5,23;1994;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
364;SENORIO BARIOBERO JOVEN DE RIOJA;196001H;VIN D'ESPAGNE;2,06;2000;1;2015;1,33;x 12;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 12
460;AOP PETIT CHABLIS DOMAINE GARNIER;153001;DOMAINE GARNIER;5,8;1952;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
497;Fut en bois pour fontaine ;CDH-991001;Fut bois ;50,08;1994;1;NM;10;x 1;;;annee:NM,couleur:,contenant:,conditionnement:x 1
155;AOP IROULEGUY DOMAINE MOURGUY;221001H;DOMAINE DE MOURGUY;8,35;988;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
205;AOP LIMOUX Terres Amoureuses DOMAINE D'ANTUGNAC;025031;DOMAINE D'ANTUGNAC;5,55;952;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
300;AOP CHATEAUNEUF DU PAPE;134008;DOMAINE GALEVAN;17,32;2000;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
829;Pannier Brut Rose;001005H;CHAMPAGNE;20,75;2000;0;;1,33;0;;;annee:,couleur:,contenant:,conditionnement:0
402;AOP COTEAUX DU GIENNOIS G.THIEBAULT;143001;DOMAINE VILLARGEAU;4;1964;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
12;VIN DE TABLE GALLICIAN;002007;CAVE GALLICIAN;12,04;1397;1;NM;10,5;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
535;AOP LANGUEDOC ST GEORGES D'ORQUES PETITES PARCELLES;099023;ORMARINE;4,48;200;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
182;AOP COTEAUX DU LANGUEDOC COL DU VENT MONTPEYROUX;036002;VIGNOBLE MONTPEYROUX;2,95;1000;1;2014;1,33;x 6;75 cl;RSE;annee:2014,couleur:RSE,contenant:75 cl,conditionnement:x 6
276;IGP VAUCLUSE LEA;202003;LOUERION TERRES D'ALLIANCE;2,07;1982;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
